G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,G61,G62,G63,G64,G65,G66,G67,G68,G69,G70,G71,G72,G73,G74,G75,G76,G77,G78,G79,G80,G81,G82,G83,G84,G85,G86,G87,G88,G89,G90,G91,G92,G93,G94,G95,G96,G97,G98,G99,G100
0.0,0.0,22985.32903015459,0.0,0.0,0.0,0.0,0.0,7155.809981085862,0.0,0.0,12039.934253890498,12039.934253890498,19122.24852088491,28683.372781327365,28093.179925744495,28093.179925744495,0.0,16855.907955446695,2176.8631128685943,0.0,6133.55141235931,12267.10282471862,0.0,65015.64497100869,0.0,248241.55352566956,0.0,6403.980039358266,9780.290432601594,9780.290432601594,25858.49515892391,77575.48547677173,1172.761161648499,1172.761161648499,14921.623435969206,0.0,8304.918153231038,8304.918153231038,1555.752671366434,4667.258014099301,17238.996772615938,0.0,954.6416895477435,2863.92506864323,0.0,0.0,0.0,10250.2142972311,0.0,0.0,0.0,0.0,0.0,0.0,16731.967455774295,25097.951183661444,8469.78005205448,0.0,0.0,1907.9493353705736,0.0,2902.4841504914593,1627.7164334658828,1627.7164334658828,0.0,23299.121917938268,8923.715976412957,0.0,1346.2123293149107,0.0,4763.88187156728,4763.88187156728,0.0,1404.3700312602166,7223.9605523343,14447.9211046686,0.0,3076.4500774925245,13585.358650658534,0.0,382.6378970884991,382.6378970884991,0.0,3661.37984551135,4345.412299144438,0.0,6538.929810302598,0.0,2254.5055224425073,2254.5055224425073,7636.065684514443,7636.065684514443,9731.493545197309,19462.987090394618,0.0,0.0,0.0,0.0,84803.01517957656
1199.9434675148948,78073.08944867956,0.0,0.0,7460.652370095827,0.0,8101.9243767497655,0.0,0.0,19717.438406681827,19717.438406681827,20447.7139032256,0.0,8118.945226280753,0.0,11927.833110214931,11927.833110214931,0.0,0.0,3697.0197012528424,0.0,15625.139869445975,0.0,0.0,55208.82753870911,210797.34151143482,105398.67075571741,2719.0088609589384,0.0,0.0,16610.105706488415,21958.056407441123,21958.056407441123,0.0,1991.7288753013083,6335.439225753505,0.0,0.0,14104.444991641016,1321.08634721159,1321.08634721159,43916.112814882246,0.0,0.0,0.0,1731.4596450312,5194.3789350935995,4352.047215889232,0.0,0.0,2429.55863016113,24153.86204818524,12076.93102409262,1722.712300613509,1722.712300613509,21312.231218986977,7104.077072995658,0.0,0.0,1620.1584381119221,0.0,7394.039402505685,0.0,0.0,0.0,6594.911139436243,13189.822278872485,0.0,22733.046633586106,0.0,0.0,0.0,0.0,0.0,0.0,6134.31417096768,0.0,7837.215265747352,2612.4050885824504,28840.432296340587,0.0,324.9216350857271,974.7649052571812,1554.552666013531,4663.657998040593,3689.9598291307816,7379.919658261563,11105.223930200109,16657.835895300163,0.0,1914.4408492617097,0.0,6484.258267969191,0.0,12395.424572126421,8438.030409846371,0.0,0.0,0.0,36005.757090462466
1662.666601576949,54089.84748968513,0.0,20675.269889879644,10337.634944939822,5613.097381005061,0.0,0.0,8419.646071507592,13660.446177241909,27320.892354483818,0.0,14166.388628250868,22499.558409574907,11249.779204787454,0.0,49582.360198878036,0.0,0.0,0.0,5122.667316465715,7216.83948986365,0.0,38249.24929627734,0.0,146042.58822214988,146042.58822214988,0.0,3767.515174586417,0.0,0.0,0.0,30425.539212947882,1379.8904573472328,2759.7809146944655,0.0,0.0,19543.412049192804,9771.706024596402,1830.5246928482775,0.0,20283.692808631924,40567.38561726385,2246.4948544869926,1123.2474272434963,0.0,2399.146461236034,6030.287051214896,6030.287051214896,0.0,0.0,0.0,0.0,2387.025959054455,1193.5129795272276,0.0,9843.556804189022,0.0,19931.37060103782,4489.850392519979,4489.850392519979,6830.2230886209545,6830.2230886209545,0.0,1915.1984626176065,27414.137720881372,0.0,0.0,10499.79392446829,1583.976011086224,1583.976011086224,11210.526660458117,0.0,1652.4053388640696,0.0,8499.833176950522,0.0,3619.8027725183606,14479.211090073442,7992.380449968401,0.0,450.21816894895136,0.0,4308.040950505895,4308.040950505895,10225.770021920105,0.0,7693.814513619005,15387.62902723801,5305.3780397742685,2652.6890198871342,17969.445978116873,17969.445978116873,5725.119281695112,0.0,11691.910265237615,17537.86539785642,1108.6738926457201,1108.6738926457201,0.0
0.0,21733.93126096382,21733.93126096382,0.0,8307.564458824007,4510.81592208683,9021.63184417366,20298.671649390733,0.0,10977.85303487458,10977.85303487458,22768.88036862876,11384.44018431438,0.0,0.0,0.0,0.0,79691.08129020066,31876.432516080262,0.0,0.0,0.0,0.0,0.0,30737.988497648825,234726.45761840924,117363.22880920462,0.0,0.0,9247.818888977441,18495.637777954882,0.0,48901.34533716858,0.0,0.0,7054.620310935795,7054.620310935795,7852.770784070868,7852.770784070868,2942.1046419809722,1471.0523209904861,0.0,16300.448445722861,0.0,1805.3356410309757,0.0,0.0,0.0,9692.158535294673,5410.710464799877,0.0,13447.869967721363,26895.739935442725,0.0,959.1348565388192,0.0,0.0,0.0,24025.971158211858,0.0,3608.1484541678333,0.0,5488.92651743729,6156.392546024085,1539.0981365060213,7343.54674005262,7343.54674005262,8437.879195433012,8437.879195433012,1272.9200521605705,2545.840104321141,4504.520296236045,4504.520296236045,1327.911455360266,1327.911455360266,6830.664110588629,6830.664110588629,0.0,2908.9579019856933,6422.863268165427,12845.726536330854,723.6116343821818,1085.4174515732727,0.0,0.0,0.0,4108.83359930379,0.0,12365.85744158286,6395.2882277142535,0.0,14440.665737150455,0.0,4600.839333218997,4600.839333218997,0.0,4697.945840252004,1781.9123766752941,0.0,0.0
0.0,49790.86273910695,49790.86273910695,9516.014307281059,9516.014307281059,0.0,5166.976321982797,31001.857931896782,0.0,12574.733191764257,25149.466383528514,13040.464050718489,26080.928101436977,31066.98788553522,10355.662628511742,30427.74945167647,15213.874725838235,0.0,18256.649671005882,2357.762473455798,0.0,0.0,19929.765813362217,35209.25293693992,0.0,134435.32939558878,0.0,3468.0783849706295,3468.0783849706295,10593.041714552124,0.0,28007.36029074766,0.0,1270.2187110045325,2540.437422009065,24242.436448384862,8080.812149461619,8995.064618926257,8995.064618926257,5055.111520116715,0.0,18671.573527165106,0.0,1033.9733067763086,0.0,2208.465686008776,2208.465686008776,0.0,0.0,6197.772939444579,9296.659409166868,15404.048159911215,46212.14447973364,0.0,1098.6542521184817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9431.049893823192,0.0,1762.9811914061474,0.0,8411.766913262096,9665.28511994429,9665.28511994429,0.0,1458.0838329239564,5159.764910507594,0.0,1521.0744942928168,3042.1489885856336,0.0,0.0,3332.105956177279,9996.317868531838,0.0,7357.157330106849,414.43546419804846,828.8709283960969,0.0,0.0,4706.520125243402,0.0,21246.96297918788,7082.320993062627,0.0,2441.8570398802453,24811.889653548264,16541.259769032175,0.0,10540.189760167332,0.0,10762.653736182507,1020.558056143186,1020.558056143186,91850.22505288674
2919.4931041661785,0.0,0.0,0.0,9075.978884315837,9856.094469760175,0.0,7392.070852320132,14784.141704640264,0.0,35979.77343425206,0.0,12437.452545173555,19753.601101158,9876.800550579,43531.08390810744,14510.36130270248,0.0,0.0,0.0,4497.471679281508,0.0,6336.0607305601125,0.0,67162.24374393719,384656.4868970948,0.0,3307.7090023984074,0.0,30309.608566389994,20206.40571092666,0.0,0.0,1211.4818060665532,1211.4818060665532,15414.285449428206,7707.142724714103,0.0,8579.118726415336,0.0,3214.236824573111,0.0,17808.170689680315,986.1607597697393,986.1607597697393,4212.685539494269,0.0,0.0,5294.321015850905,0.0,5911.178200430348,14691.740818986262,29383.481637972523,2095.7015135552465,0.0,17284.40096351325,8642.200481756625,8749.423812795787,8749.423812795787,1970.9434301602587,0.0,0.0,0.0,1681.4581767080126,1681.4581767080126,8022.793621289426,0.0,9218.347180540399,9218.347180540399,0.0,1390.6597501702634,4921.169290379208,9842.338580758416,0.0,1450.7376245861767,0.0,14924.943054208266,3178.024151921318,3178.024151921318,7016.950838918812,7016.950838918812,790.5426369725245,0.0,1891.1331705855202,0.0,4488.883254687082,4488.883254687082,6754.823365051154,0.0,0.0,0.0,15776.365980119475,0.0,0.0,5026.397429161372,5132.485875628388,10264.971751256777,973.3658513614085,973.3658513614085,0.0
0.0,63179.916857661265,21059.97228588709,32199.803186143963,8049.950796535991,0.0,0.0,13112.812932722149,6556.406466361074,0.0,10637.434981136845,11031.414054512285,33094.24216353685,26280.72171810279,17520.481145401864,25739.966127195326,0.0,15443.979676317196,15443.979676317196,0.0,0.0,11239.55394233327,0.0,0.0,59569.63589436633,113723.85034379027,113723.85034379027,2933.77662706776,2933.77662706776,0.0,0.0,0.0,23692.46882162297,1074.525299589154,2149.050599178308,6835.859856730562,0.0,0.0,7609.260059499349,0.0,0.0,47384.93764324594,0.0,0.0,0.0,1868.2233479415966,0.0,4695.804631312661,4695.804631312661,5242.926880895611,7864.390321343417,13030.857851892635,0.0,929.3925362419709,1858.7850724839418,0.0,0.0,15520.624736745569,0.0,3496.261469484888,0.0,2659.358745284211,0.0,1491.3714279705448,0.0,0.0,0.0,16352.449069041737,8176.2245345208685,0.0,2466.8948013837366,0.0,4364.8372427832965,1286.7335463708012,0.0,6618.848432707371,6618.848432707371,8456.257461345378,11275.009948460503,6223.693302396483,0.0,0.0,350.5863891546698,5032.028776273905,1677.342925424635,11944.261812046718,0.0,17973.59703709329,5991.199012364429,2065.6577836553715,4131.315567310743,27985.73498393049,6996.433745982623,4458.169471780801,0.0,4552.264751752886,0.0,863.3280564400917,863.3280564400917,77699.52507960825
0.0,21593.82932109543,21593.82932109543,24762.035939634523,16508.02395975635,0.0,4481.7381609820695,13445.21448294621,0.0,0.0,0.0,0.0,22622.106907814257,26946.921463719926,0.0,26392.45805911663,0.0,15835.474835469979,0.0,2045.078861085887,0.0,11524.469556811036,5762.234778405518,0.0,30539.844325549246,233213.35666783064,233213.35666783064,12032.584068227658,3008.1460170569144,9188.20531284433,9188.20531284433,0.0,0.0,0.0,1101.7638392656488,7009.1445993063835,0.0,0.0,15604.30002035363,0.0,0.0,16195.371990821568,32390.743981643136,896.8490152937131,1793.6980305874263,1915.5816333229816,1915.5816333229816,4814.840321595601,0.0,2687.915887831241,2687.915887831241,0.0,26722.36378485559,952.9520517630523,0.0,0.0,0.0,15914.062799913998,0.0,1792.4447480059648,3584.8894960119296,0.0,2726.771814781183,3058.353508996348,0.0,7296.208541940093,0.0,8383.486677601753,0.0,2529.4290311044533,2529.4290311044533,0.0,8950.966236378705,1319.3514314678753,2638.7028629357505,0.0,6786.632072344278,5780.4121751828225,0.0,0.0,0.0,0.0,359.47353334260083,1719.8625122996357,0.0,8164.694218160844,0.0,6143.0721344495605,12286.144268899121,0.0,0.0,0.0,7173.788935531702,9142.362520834415,9142.362520834415,4667.661796481326,4667.661796481326,0.0,2655.638637004282,0.0
1745.1263306056462,0.0,28386.213141938984,32550.98572647057,10850.32857549019,5891.478199270355,0.0,0.0,8837.217298905533,14337.93418904061,14337.93418904061,14868.968788634707,0.0,11807.71050862168,11807.71050862168,0.0,17347.130253407155,62449.668912265755,41633.11260817717,0.0,0.0,15149.515369552342,0.0,40146.215729313706,80292.43145862741,0.0,0.0,0.0,0.0,24156.74871964435,12078.374359822175,63868.97956936271,63868.97956936271,1448.3259411021952,1448.3259411021952,18427.771154439077,0.0,10256.332485591092,10256.332485591092,0.0,1921.3093215943204,21289.659856454236,21289.659856454236,7073.72840427007,2357.9094680900234,0.0,0.0,0.0,6329.358335702611,7066.8108157216075,0.0,17563.96938157475,17563.96938157475,2505.410194102787,0.0,0.0,0.0,0.0,10459.932137910519,7068.785888615885,4712.523925743923,0.0,10753.450641780457,2010.1824757167092,0.0,9591.24607867563,9591.24607867563,11020.5298080469,0.0,0.0,0.0,0.0,5883.255619787772,0.0,0.0,17842.76254636165,0.0,3799.326409714231,11397.979229142693,8388.761495677492,16777.522991354985,0.0,1890.1867166988125,2260.848834313724,2260.848834313724,0.0,5366.457863243717,16150.776442827353,16150.776442827353,2784.248779113566,2784.248779113566,18860.638262093686,0.0,0.0,12018.111622460268,6135.884500113449,6135.884500113449,1163.6584269366292,1163.6584269366292,52364.62921214831
1315.4883768585398,0.0,64193.17523842027,0.0,16358.106431412114,13323.111841936283,4441.037280645427,0.0,6661.555920968141,32424.103819406155,10808.034606468718,33624.99655345824,11208.332184486078,17801.468763595538,8900.734381797769,13076.38754856709,0.0,15691.665058280509,47074.99517484152,0.0,2026.5064887128847,5709.905075115549,0.0,60524.99379622482,60524.99379622482,115547.71542915648,0.0,5961.655111260418,2980.827555630209,0.0,0.0,24072.440714407596,24072.440714407596,0.0,1091.7581770492368,6945.4910913700605,6945.4910913700605,15462.589655969845,0.0,1448.296341978944,2896.592683957888,16048.293809605066,0.0,0.0,888.7042859185578,1898.1852893081261,1898.1852893081261,0.0,19084.45750331413,2663.505594553062,5327.011189106124,13239.84239292418,26479.68478584836,0.0,944.2978229723041,15576.285168146094,7788.142584073047,7884.769663279908,15769.539326559816,0.0,1776.1666709344904,5404.017303234359,2702.0086516171796,4545.868632763667,0.0,7229.948064395457,7229.948064395457,0.0,0.0,1253.22901766981,1253.22901766981,0.0,0.0,2614.73949747114,1307.36974873557,6724.999310691648,6724.999310691648,0.0,2863.958696982247,6323.506814530952,12647.013629061905,712.417952873001,0.0,0.0,0.0,4045.2732963740336,4045.2732963740336,18261.85157644714,0.0,0.0,2098.7861124846786,14217.280421932004,28434.56084386401,0.0,4529.668103067432,4625.272451676569,0.0,877.1738231336931,0.0,78945.64408203238
1285.9469602589743,0.0,20917.204595996987,0.0,7995.379362948655,0.0,8682.61322852705,13023.919842790578,6511.959921395289,0.0,0.0,10956.630978855565,0.0,8700.854012620595,8700.854012620595,0.0,25565.472283996318,15339.28337039779,15339.28337039779,0.0,5942.994035406032,0.0,11163.359865249065,0.0,29582.903642910023,112952.90481838374,225905.8096367675,2913.888257509899,2913.888257509899,0.0,0.0,0.0,70595.56551148983,0.0,1067.2409835098963,20368.55660659379,6789.518868864595,15115.352226304392,15115.352226304392,0.0,0.0,15687.90344699774,31375.80689399548,1737.493991053309,0.0,1855.5584722255394,3711.116944451079,0.0,0.0,0.0,0.0,25885.040687546272,12942.520343773136,0.0,1846.1841797952763,15226.494522086043,7613.247261043021,23123.1132692721,15415.4088461814,1736.279979041673,0.0,0.0,0.0,4443.783809020819,1481.2612696736064,7067.587901036524,0.0,8120.797078445889,0.0,0.0,2450.1714711146146,4335.247568046829,0.0,1278.0106490456913,1278.0106490456913,0.0,13147.95717462668,2799.64387787792,2799.64387787792,6181.502253742394,0.0,348.20972843512726,1044.6291853053817,3331.944094937573,1665.9720474687865,3954.43014959332,0.0,17851.75219830777,5950.584066102591,0.0,6154.963439575071,0.0,20847.012634265455,4427.947088389954,4427.947088389954,9042.808973815292,4521.404486907646,0.0,857.4754679104354,38586.3960559696
3431.8178080652833,0.0,27910.96267805284,10668.669131765371,0.0,11585.682621078537,0.0,17378.523931617805,0.0,28195.768419665623,28195.768419665623,29240.0561389125,29240.0561389125,34830.06687135165,0.0,51170.098243096865,17056.699414365623,20468.039297238745,20468.039297238745,0.0,2643.353289343652,0.0,0.0,78948.15157506375,39474.075787531874,0.0,0.0,11664.478304946097,0.0,23752.30921312806,0.0,62799.666025618884,62799.666025618884,0.0,0.0,9059.623951236821,0.0,40338.4716076968,0.0,0.0,0.0,0.0,20933.222008539626,1159.2163215468738,2318.4326430937476,4951.944991267439,0.0,0.0,6223.390326863132,6948.496157067639,0.0,0.0,17269.908157045196,0.0,1231.7319339348726,0.0,10158.769504144233,20569.617656033977,10284.808828016989,0.0,2316.8127209004174,0.0,3524.471052458203,1976.5273999479477,0.0,0.0,18861.333140800212,21672.041608841027,10836.020804420514,0.0,3269.396929750224,5784.756395939771,5784.756395939771,0.0,0.0,8772.01684167375,0.0,3735.716951501439,11207.150854504318,24744.94303099013,8248.314343663376,464.6351614473232,0.0,0.0,4445.9940549110715,0.0,0.0,7940.1876584115835,7940.1876584115835,0.0,5475.268107913932,9272.433909822923,0.0,5908.450402980537,11816.900805961073,0.0,0.0,0.0,1144.1761097835324,51487.92494025896
1359.397344876378,22111.948057568294,66335.84417270488,16904.114731268422,16904.114731268422,9178.54447672646,9178.54447672646,13767.816715089692,13767.816715089692,0.0,0.0,11582.448982535772,34747.346947607315,0.0,18395.654266380345,13512.857146291733,0.0,16215.428575550079,0.0,0.0,4188.296283863381,0.0,5900.492877895582,0.0,62545.224505693164,119404.51951086878,119404.51951086878,3080.3229704961454,0.0,9408.665577503987,9408.665577503987,49751.88312952865,0.0,0.0,2256.398753855964,7177.320844915608,14354.641689831216,0.0,0.0,1496.6382345254744,1496.6382345254744,33167.92208635243,0.0,0.0,918.3678608722952,1961.543779300413,5884.631337901239,4930.366796619956,14791.10038985987,5504.8185859998175,5504.8185859998175,0.0,0.0,0.0,975.8170242344402,24144.296224624202,16096.1974830828,8147.951083247868,0.0,0.0,3670.904736220113,2792.1975225755878,2792.1975225755878,0.0,0.0,37356.36275937305,0.0,0.0,8584.63865764416,1295.0598645430453,2590.1197290860905,0.0,4582.8671131177825,0.0,2702.0154589992935,0.0,6949.469389521464,0.0,2959.5532100485725,0.0,6534.57569462466,368.09868130137227,736.1973626027445,0.0,0.0,4180.298264225196,0.0,12580.935963788856,6290.467981894428,8675.361391146344,2168.840347786586,7345.9156298632915,22037.746889589875,0.0,0.0,14338.970683619611,0.0,906.4525290680168,906.4525290680168,40790.36380806076
